trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,10,6.967354117771349,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",25,4,29.875771656514722,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",30,20,14.773901070588227,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",30,24,13.927582695782856,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,4,19.78692253000628,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,3,30.55466221509414,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,0,-9.13182139758133,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,9,17.707953883520215,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",35,15,30.107362790793776,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,18,-32.149369502227565,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,6,14.417700469667109,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",20,0,21.340596362600504,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",25,9,19.132785020929127,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,13,6.2972053709793805,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,7,-1.8066565416845324,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,0,-37.942774899970935,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,2,-24.01787356352224,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
